,job,company,ssn,residence,current_location,blood_group,website,username,name,sex,address,mail,birthdate
79,의무기록사,이장,780617-2856351,대구광역시 구로구 선릉길,"(Decimal('24.1825165'), Decimal('54.005470'))",B-,"['https://yu.com/', 'https://www.ryuheo.org/', 'https://yu.com/', 'http://www.yungimgim.com/']",bagjaeho,권서윤,F,경기도 평창군 서초대4거리,osong@nate.com,1935-09-11
80,항공기 객실승무원,김서이,310205-2175733,대전광역시 서대문구 역삼947길,"(Decimal('32.411104'), Decimal('-108.882858'))",A-,['https://yuhanhoesa.com/'],yejinsim,장성현,M,울산광역시 양천구 백제고분661길 (성수임면),fgim@live.com,1915-07-13
81,Museum education officer,"साया, कुमार and काले",123-26-1682,"26/0811 ज़ाकिर कुमार
अमरावती 583812","(Decimal('15.888698'), Decimal('-108.540507'))",O-,"['https://www.laalaa.com/', 'https://husain-husain.com/', 'https://www.ahluvaaliyaa.com/']",liilaavphaadaar,अली मगर,M,"71/9260 गांगुली
अलांग 765524",hshrmaa@yahoo.com,1905-10-10
82,"Education officer, museum",चौहान PLC,669-48-2889,"70/832 अखिल मजूमदार
पाकाला-695672","(Decimal('64.2571565'), Decimal('-47.468820'))",AB+,"['https://gaaykvaadd.com/', 'http://www.mnddl.net/', 'http://gnnesh.com/']",rtn47,रेयांश कृष्णन,F,"94 पुष्पा डार
फतेहगढ 784359",hvikaavi@gmail.com,1920-01-06
83,"Psychologist, educational",Long Ltd,563-65-7961,"0605 Gutierrez Brook Suite 796
Andrewburgh, GA 51005","(Decimal('48.499336'), Decimal('-96.463131'))",O+,"['http://alvarez-white.biz/', 'https://www.walters.com/']",jacobduke,Nicholas Baker,M,"59558 Vanessa Road
Port Patricia, VT 39756",rosalesjohn@gmail.com,2015-02-08
84,Ranger/warden,Moon Inc,333-72-3146,"9938 Hill Highway Suite 531
Roachport, NJ 47346","(Decimal('16.2691655'), Decimal('10.463741'))",AB-,"['https://brown.biz/', 'http://davis-chapman.com/', 'http://mcbride-guzman.com/']",christopher70,Jonathan Collins,M,"241 Carolyn River
Lake Ashleyfurt, MN 34375",zbruce@yahoo.com,1938-08-27
85,성직자,오한차,020322-1472635,인천광역시 강남구 잠실로,"(Decimal('85.998161'), Decimal('9.691363'))",AB-,['http://noji.org/'],gyeongsugi,양선영,F,대전광역시 북구 압구정가 (승현박김동),yejun45@nate.com,1966-11-11
86,Insurance risk surveyor,"धालीवाल, माने and माने",253-08-7643,"513 अब्बासी
मोकामा-515794","(Decimal('52.984667'), Decimal('-54.986002'))",A+,"['https://caudhrii-dhaaliivaal.com/', 'http://www.shirole-jmaant.com/', 'http://www.hegdde.com/']",aadyaa09,"गुप्ता, एषा",M,"72/794 जमानत
सभापतिने-371490",shrmaarjnii@hotmail.com,1946-04-25
87,Biomedical scientist,Lynn-Quinn,527-07-0718,"276 David Flat Apt. 337
Port Eric, NE 22316","(Decimal('5.3546045'), Decimal('139.636964'))",O-,"['https://www.king-green.com/', 'https://www.roberts-williams.com/', 'https://hall-miller.com/', 'http://www.cole.info/']",natalie81,Timothy Kim,M,"Unit 3959 Box 0017
DPO AP 48126",pottsjohn@hotmail.com,1994-08-14
88,Commissioning editor,"साया, मंगल and बालकृष्णन",319-04-7286,"085 अद्वैत मगर
बचेली-920456","(Decimal('1.875430'), Decimal('-62.488666'))",B-,"['https://www.haasn.net/', 'http://www.mnni-sinh.net/', 'https://mngl-maane.com/', 'http://www.nuuraanii-bhnddaarii.com/']",ebaadaamii,"अरोड़ा, अथर्व",M,"17/1903 मायरा कुण्डा
अहमदनगर 345842",vshriiviml@gmail.com,2013-05-19
89,Chartered accountant,लोकनाट्यों-अग्रवाल,317-24-1450,"2/8 आन्वी जमानत
चक्रधरपुर-167675","(Decimal('22.271172'), Decimal('84.058232'))",B-,"['http://dhaaliivaal-mgr.net/', 'https://dhaaliivaal.org/', 'http://www.lodii-chaabraa.net/']",fddaar,रतन मजूमदार,M,"6918 भरत कुलकर्णी
अगरतला-412515",aahuujaadivyaa@gmail.com,2016-04-29
90,Professor Emeritus,बापट-मजूमदार,332-21-0213,"66/336 दूबे
अम्बाजी-561525","(Decimal('-67.270856'), Decimal('-60.475663'))",O-,['http://www.daadaa-dyaal.com/'],hnumaan91,गणेश गणेश,F,"21/03 दीक्षित
देवास 396746",srlaashirole@hotmail.com,1936-12-27
91,Chartered public finance accountant,Romero LLC,785-59-6207,"0585 Janice Court Suite 304
Port Robertchester, WI 68296","(Decimal('68.0635035'), Decimal('-34.755001'))",AB-,"['http://gomez-boone.com/', 'https://zimmerman-simmons.com/']",michaelwagner,Patrick Adams,M,"62475 Alex Cove Suite 162
North Karenside, CO 12384",ugardner@hotmail.com,1913-05-08
92,Television camera operator,Brown and Sons,440-19-5991,"31125 Joshua Roads Apt. 440
Lake David, RI 45605","(Decimal('22.132239'), Decimal('7.080234'))",O+,"['http://www.perry-diaz.com/', 'https://www.patel.com/']",bradshawjames,Kristin Brown,F,"1815 Harrison Trail
Martinezshire, AZ 11512",ramirezalicia@gmail.com,1968-11-04
93,"Accountant, chartered certified","दवे, मगर and बादामी",302-37-1463,"653 जमानत
अनंतनाग-605258","(Decimal('62.1509775'), Decimal('117.009813'))",AB-,"['http://raamshrmaa.com/', 'https://www.mhaajn.org/']",baapttysh,निखिल मान,F,"3 दिव्या कुमार
चंबा 504862",nabbaasii@yahoo.com,1919-11-05
94,"Designer, television/film set","गायकवाड, बक्षी and महावीर",371-62-4587,"41/71 डानी
लखनऊ 833058","(Decimal('76.5816455'), Decimal('-141.181305'))",AB-,"['http://www.dddhaal.net/', 'https://www.krssnnn.com/', 'https://duaa.com/', 'http://www.dttaa.com/']",shkti55,विजया रामशर्मा,F,"01/50 पाटिल
फतहपुर 391531",annyaa16@yahoo.com,1934-01-20
95,환경공학 시험원,(유) 김,720017-1692704,강원도 아산시 학동길,"(Decimal('61.0792685'), Decimal('-150.119096'))",AB+,"['http://yuhanhoesa.net/', 'http://jusighoesa.net/', 'http://www.yu.com/', 'http://igim.org/']",gimyunseo,박지영,F,제주특별자치도 영동군 역삼로 (동현김읍),jieungim@gmail.com,2004-01-06
96,"Civil engineer, contracting","महावीर, दत्ता and शिरोळे",893-33-8408,"55/0637 शान्ता बालकृष्णन
जिलोंपर-076462","(Decimal('78.5329845'), Decimal('-14.484323'))",AB-,['http://www.maan.com/'],shnaayaagaangulii,रिज़वान ड़ाल,F,"62/5465 अभिलाषा मणि
चिरमिरी-050003",khaanjitendr@gmail.com,1935-08-17
97,Marine scientist,"सेनाधीश, जोशी and दीक्षित",852-80-7502,"9913 काले
अलांग 569902","(Decimal('-50.957161'), Decimal('-112.534272'))",O-,"['http://www.bjaaj.org/', 'https://www.saayaa-naam.com/']",krssnnmuurtirijvaan,रतन मल्लिक,M,"81/394 अंकुर गुप्ता
लखनऊ 669604",vidyaa18@hotmail.com,1974-10-30
98,Trade union research officer,"Li, Howard and Anderson",719-28-9555,"911 Johnson Valley
Charlestown, MD 27873","(Decimal('55.944124'), Decimal('125.651363'))",A+,"['http://www.williams.net/', 'http://lopez-white.net/', 'https://welch.com/']",andrewshaw,Aaron Johnson,M,"7263 Jeffrey Estate
Port John, RI 94536",phillipsthomas@gmail.com,1983-05-29
99,매표원 및 복권 판매원,(주) 전,250701-2958974,서울특별시 성동구 서초대678로 (순자김백리),"(Decimal('64.6754565'), Decimal('-134.047487'))",B-,['http://www.yu.kr/'],yejun87,구은경,F,전라남도 안양시 동안구 선릉8가 (경수성김동),eunyeong04@gmail.com,1914-10-20
